stimulus_id,stimulus_label,title,dataset_id,composition_id,event_id,chord_id,midi,pc_set,surprisal_rating_mean,surprisal_rating_sd,surprisal_rating_n,surprisal_rating_se,probability,information_content,milne_2011,onset,offset,leman_2000_v1,leman_2000_v2,leman_2000_v3,leman_2000_v4,leman_2000_v5,leman_2000_v6,collins_2014,melody_midi,melody_information_content,melody_entropy,melody_dist,vl_dist,incon
525,id=525_genre=popular_c-id=485_e-id=166_ic_category_1,Rick James: Super Freak Part One,2,485,168,8,50 60 64 69,0 2 4 9,NA,NA,0,NA,0.244420690123882,2.03256168094305,0.08433910667593647,7,8,1.652402256025357,1.5772219978809336,1.5396587070927352,2.452497328687424,2.267769218125748,2.184332034843371,-108866.76287694297,69,4.2112527,2.8081367,5,12,1.2459280867120652
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,59,1,53 62 68 70,2 5 8 10,NA,NA,0,NA,3.00453305117304e-4,11.7005715873162,NA,0,1,2.1235113167603727,2.08705801890921,2.067232404312105,3.7672812628166863,3.585759478591358,3.4969826800776387,-22925.83821813814,70,5.4594316,5.45943,NA,NA,0.9047851780508493
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,60,2,53 60 63 68,0 3 5 8,NA,NA,0,NA,0.00456789140657464,7.77425593104068,0.29611429938539957,1,2,1.2310273165052807,1.1639572712500634,1.1275924952747274,2.350168456862565,2.149270127788514,2.051053523045461,-99559.39629222655,68,2.3036745,3.296565,2,5,1.476619521937929
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,61,3,53 62 68 70,2 5 8 10,NA,NA,0,NA,0.0247003655114326,5.33932379907289,0.29611429938539957,2,3,1.5310374731711829,1.5240949719991892,1.5249479145559721,2.906178317075448,2.7691950204021762,2.7069070420577663,-164279.10424785473,70,3.0541112,3.3144233,2,5,0.9047851780508493
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,62,4,53 60 63 68,0 3 5 8,NA,NA,0,NA,0.486620181903897,1.03913193957428,0.29611429938539957,3,4,1.3434784252322767,1.2827082245673074,1.2485857822476758,2.4936306947915527,2.2956446390577767,2.197732165502187,-217295.83279005173,68,1.9679724,3.13726,2,5,1.476619521937929
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,63,5,53 62 68 70,2 5 8 10,NA,NA,0,NA,0.382592204261658,1.38612061740728,0.29611429938539957,4,5,1.4413793671565174,1.4230164291534109,1.4197204006692599,2.656052410731322,2.518478261021696,2.4632340505292074,-263511.71678381984,70,2.2996807,3.1988635,2,5,0.9047851780508493
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,64,6,53 60 63 68,0 3 5 8,-0.431437550277285,1.03657991676901,24,0.211590989475061,0.560498526380388,0.835217514874503,0.29611429938539957,5,6,1.3614906690877282,1.306593885213159,1.2753110231700244,2.5113874414180417,2.3214422900261638,2.2285342311364453,-301718.8024806459,68,1.6197147,2.9940646,2,5,1.476619521937929
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,65,7,53 62 68 70,2 5 8 10,NA,NA,0,NA,0.298873623322429,1.74239251530547,0.29611429938539957,6,7,1.4159381969089704,1.3871737784055127,1.3789198899742245,2.567132366259046,2.411864792110001,2.3502364882859816,-334526.5884323341,70,2.2479138,3.1429489,2,5,0.9047851780508493
526,id=526_genre=popular_c-id=309_e-id=64_ic_category_1,James Brown: My Thang,2,309,66,8,53 60 63 68,0 3 5 8,NA,NA,0,NA,0.525069734037216,0.929419056358601,0.29611429938539957,7,8,1.3670675432301884,1.3159500338082206,1.2868074523873914,2.512777996484556,2.325836794197756,2.2360156668506526,-303358.7282229624,68,1.0846069,2.564819,2,5,1.476619521937929
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,47,1,48 64 67,0 4 7,NA,NA,0,NA,0.0289214295321566,5.11171732600635,NA,0,1,2.481009474685578,2.454282687157469,2.439845298774715,4.3528498870985475,4.179099660185211,4.094547620393405,-15949.071820615249,67,5.4594316,5.45943,NA,NA,2.0469639310114416
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,48,2,55 62 71,2 7 11,NA,NA,0,NA,0.101347750274053,3.30261403079385,0.4154672127468768,1,2,1.134118030171691,1.0619499469549212,1.022529421768991,2.2193474671745195,2.0120056468120553,1.9100929668443627,-56497.408023886914,71,4.831826,3.3045144,4,13,2.0832048202913276
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,49,3,48 64 67,0 4 7,NA,NA,0,NA,0.247670945943488,2.01350345763827,0.4154672127468768,2,3,1.370211723539173,1.3656938811154211,1.369208938609991,2.705274026807634,2.572587750007973,2.5132738281245497,-95546.51120458018,67,3.5084572,2.4022148,4,13,2.0469639310114416
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,50,4,55 62 71,2 7 11,NA,NA,0,NA,0.458496933218415,1.12501601089338,0.4154672127468768,3,4,1.2676912335216253,1.2030947033244415,1.166410023945247,2.3721530613092137,2.1686712941359056,2.0675180090243908,-126279.40353269027,71,2.2410362,2.9698243,4,13,2.0832048202913276
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,51,5,48 64 67,0 4 7,NA,NA,0,NA,0.517745575076874,0.949684776411502,0.4154672127468768,4,5,1.2685827290796494,1.2496625588058865,1.247417821920781,2.453805582529516,2.3187430971981438,2.265425839626564,-159107.92447922207,67,3.519203,2.4192495,4,13,2.0469639310114416
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,52,6,55 62 71,2 7 11,-0.417655323355333,0.853990916271597,24,0.174320165819774,0.558412818242712,0.840596036214185,0.4154672127468768,5,6,1.2859146855496795,1.2283686597246362,1.1952572909028363,2.3792471973531852,2.186050523081565,2.0915860870740115,-179802.31103793945,71,1.280402,2.6333256,4,13,2.0832048202913276
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,53,7,48 64 67,0 4 7,NA,NA,0,NA,0.571549154687512,0.807050515652547,0.4154672127468768,6,7,1.2451267022218668,1.2145592131168699,1.2066413628198907,2.376609945590524,2.223221967956581,2.1631382425257897,-204437.69112357238,67,3.5360093,2.467126,4,13,2.0469639310114416
527,id=527_genre=popular_c-id=648_e-id=52_ic_category_1,Los Lobos: Will The Wolf Survive,2,648,54,8,50 66 69,2 6 9,NA,NA,0,NA,0.054849352479605,4.1883816006864,0.742483976377317,7,8,0.6763360559111729,0.5546162996985353,0.495040286676181,1.4389140125273792,1.2054976184750354,1.1033017580869005,-175295.21686073605,69,3.1028085,2.6333256,2,6,2.0656877301348207
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,145,1,50 64 66 69,2 4 6 9,NA,NA,0,NA,8.19397042096266e-4,10.2531496946404,NA,0,1,2.3805859880047184,2.344194313203567,2.324344181459057,4.0385033060027995,3.8555147155938854,3.7658292283899346,-11048.395079351272,69,5.4594316,5.45943,NA,NA,1.3151259091154062
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,146,2,57 62 66,2 6 9,NA,NA,0,NA,0.0020860464745099,8.90501298500284,0.08433910667593647,1,2,1.678617834970931,1.6160443900587742,1.5820321744794503,2.8281899707022995,2.6270296041874994,2.5283090886902584,-58684.17124298042,66,4.2476993,3.3169882,3,12,1.7537865356116598
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,147,3,57 61 64,1 4 9,NA,NA,0,NA,0.241098538726221,2.05230518794868,0.4154672127468768,2,3,1.1068757247377423,1.0393316656645413,1.0042822325561855,2.128100885836423,1.9346917243270305,1.8425399885596585,-89416.73370903415,64,2.0972111,3.11855,2,3,1.98256825909415
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,148,4,50 64 66 69,2 4 6 9,NA,NA,0,NA,0.0246461264848661,5.3424952669117,0.23673408481386438,3,4,1.528186258618963,1.5205018771874714,1.5212750604338106,2.535201795548491,2.344493271931647,2.252914389164436,-105909.5677133216,69,4.5216665,3.309491,5,17,1.3151259091154062
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,149,5,57 62 66,2 6 9,NA,NA,0,NA,0.141226377073382,2.82391852668174,0.08433910667593647,4,5,1.5421027492304262,1.4919728055889399,1.4706388031870357,2.4592765419841647,2.309410961338012,2.250455048556341,-117925.72148596091,66,3.8899646,3.2121143,3,12,1.7537865356116598
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,150,6,57 61 64,1 4 9,-0.472935925371614,0.548885104213549,25,0.10977702084271,0.331331577819965,1.59365238771575,0.4154672127468768,5,6,1.1867645350105047,1.1288195173613735,1.0972614293156477,2.221991705749817,2.0329256911519473,1.941869564069405,-139359.21438404356,64,1.2196432,2.6888204,2,3,1.98256825909415
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,151,7,50 64 66 69,2 4 6 9,NA,NA,0,NA,0.185503020765077,2.43048541474041,0.23673408481386438,6,7,1.474916293602813,1.4522888258693483,1.4464454992495317,2.429190860803479,2.235118048691037,2.145189458389079,-164460.01240037245,69,3.3776774,3.3865469,5,17,1.3151259091154062
528,id=528_genre=popular_c-id=562_e-id=150_ic_category_1,George Benson: Breezin',2,562,152,8,57 62 66,2 6 9,NA,NA,0,NA,0.218228303853327,2.19608986590835,0.08433910667593647,7,8,1.4994011194077013,1.4407572321921012,1.4175472912527314,2.343384118432446,2.172166016333578,2.1085191131736556,-137041.2435467814,66,3.356292,3.3275762,3,12,1.7537865356116598
529,id=529_genre=popular_c-id=649_e-id=49_ic_category_1,Simon And Garfunel: A Hazy Shade Of Winter,2,649,44,1,50 65 69,2 5 9,NA,NA,0,NA,0.00661582101912043,7.23986407952414,NA,0,1,2.3445788280601425,2.307404403241105,2.28704380184578,3.978719136566751,3.792913890147208,3.701624731938798,-11074.929437026389,69,5.4594316,5.45943,NA,NA,1.909752299744979
529,id=529_genre=popular_c-id=649_e-id=49_ic_category_1,Simon And Garfunel: A Hazy Shade Of Winter,2,649,45,2,48 64 67 70,0 4 7 10,NA,NA,0,NA,0.00255071127560838,8.61488468043828,0.6066732984040601,1,2,0.9393053214673177,0.8677374733026858,0.828823953582137,2.0460222297767015,1.8421410487894796,1.742441227229506,-45579.593602033965,70,4.400603,3.3169882,1,6,1.3783210886168575
