id,label,genre,dataset-id,reduce-harmony,target-chord-position-1-indexed,milne-target,milne-full-seq,h-cpitch-stm-ic,h-cpitch,music-data,c-id,e-id,first-e-id,last-e-id,num-pcs-in-chords,ic,ic-category
34,id=34_genre=classical_c-id=796_e-id=158_ic_category_1,CLASSICAL,1,T,6,0.7153813498,"(0.337278823d0 0.4705920409d0 0.6066733029d0 0.3602850703d0 0.7153813498d0
 0.2239615009d0 0.3955585127d0)",3.4583433,"((55 60 64 71) (48 64 65 69) (50 65 67 71) (57 60 64) (54 60 63 69) (55 62)
 (55 62 65 71) (48 64 67))",#<HARMONIC-SEQUENCE {103A54BB73}>,796,158,153,160,(4 4 4 3 4 2 4 3),7.4759502,1
35,id=35_genre=classical_c-id=667_e-id=361_ic_category_1,CLASSICAL,1,T,6,0.1392375404,"(0.547195276d0 0.3306690107d0 0.1044008226d0 0.3267078289d0 0.1392375404d0
 0.2863351795d0 0.2863351795d0)",2.915765,"((54 61 64) (58 62 66) (54 61 64 70) (54 61 64) (59 66) (54 62 71)
 (50 61 66 69) (54 62 71))",#<HARMONIC-SEQUENCE {103A54BD13}>,667,361,356,363,(3 3 4 3 2 3 4 3),5.7284107,1
36,id=36_genre=classical_c-id=410_e-id=288_ic_category_1,CLASSICAL,1,T,6,0.5025801494,"(0.3955585127d0 0.4171903988d0 0.5025801494d0 0.5025801494d0 0.5025801494d0
 0.767515613d0 0.768493458d0)",3.4583433,"((50 65 68 70) (51 67 70) (56 60 63 65) (55 62 63 70) (53 60 62 69)
 (51 62 67 70) (49 65 69) (48 63 67 70))",#<HARMONIC-SEQUENCE {103A54BF03}>,410,288,283,290,(4 3 4 4 4 4 3 4),9.599521,1
37,id=37_genre=classical_c-id=1016_e-id=74_ic_category_1,CLASSICAL,1,T,6,0.4484576195,"(0.485140321d0 0.4484576195d0 0.7487108014d0 0.7487108014d0 0.4484576195d0
 0.0d0 0.4484576195d0)",3.2018166,"((57 60 63 65) (59 62 65 67) (48 63 67) (53 61 68) (55 60 63) (55 62 65 71)
 (53 62 67 71) (48 63 67))",#<HARMONIC-SEQUENCE {103A54C0D3}>,1016,74,69,76,(4 4 3 3 3 4 4 3),1.7679926,1
38,id=38_genre=classical_c-id=943_e-id=40_ic_category_1,CLASSICAL,1,T,6,0.4154672157,"(0.858196001d0 0.7319005211d0 0.8674176694d0 0.8492012922d0 0.4154672157d0
 0.4154672157d0 0.4961724298d0)",3.4583433,"((50 65 67) (56 61 64 69) (54 62 67 71) (53 60) (52 67 71) (57 60 64)
 (53 62 69) (55 62 71))",#<HARMONIC-SEQUENCE {103A54C273}>,943,40,35,42,(3 4 4 2 3 3 3 3),7.579873,1
39,id=39_genre=classical_c-id=409_e-id=105_ic_category_1,CLASSICAL,1,T,6,0.6272698408,"(0.8664938935d0 0.7319005211d0 0.4705920409d0 0.4705920409d0 0.6272698408d0
 0.9347038335d0 0.861489644d0)",3.4583433,"((56 61 64 71) (57 62 65 70) (59 60 64 67) (50 65 69 71) (48 64 67 71)
 (54 63 68 71) (57 60 62 65) (59 61 64 68))",#<HARMONIC-SEQUENCE {103A54C483}>,409,105,100,107,(4 4 4 4 4 4 4 4),11.284014,1
40,id=40_genre=classical_c-id=910_e-id=85_ic_category_1,CLASSICAL,1,T,6,0.9731220386,"(0.7789628345d0 0.1392375404d0 0.9731220386d0 0.8135845d0 0.9731220386d0
 0.1392375404d0 0.2863351795d0)",2.9908779,"((58 62 65 68) (57 61 64) (57 64) (58 65) (56 63) (57 64) (57 61 64)
 (50 61 66 69))",#<HARMONIC-SEQUENCE {103A54C5F3}>,910,85,80,87,(4 3 2 2 2 2 3 4),6.139937,1
41,id=41_genre=classical_c-id=370_e-id=13_ic_category_1,CLASSICAL,1,T,6,0.2863351795,"(0.3955585127d0 0.2416037152d0 0.3141562376d0 0.3955585127d0 0.2863351795d0
 0.1635332016d0 0.498340002d0)",3.4583433,"((59 62 65 67) (48 64 67) (48 64 69) (48 62 66 69) (59 62 67) (59 60 64 67)
 (57 60 64 67) (50 66 69))",#<HARMONIC-SEQUENCE {103A54C7C3}>,370,13,8,15,(4 3 3 4 3 4 4 3),7.9996576,1
42,id=42_genre=classical_c-id=858_e-id=160_ic_category_1,CLASSICAL,1,T,6,0.1392375404,"(0.4029451379d0 0.6555519402d0 0.4154672157d0 0.4154672157d0 0.1392375404d0
 0.4341399907d0 0.1392375404d0)",2.9648042,"((50 64 71) (57 60 64) (55 62 71) (50 66 69) (55 62 71) (55 62) (50 66 69)
 (50 69))",#<HARMONIC-SEQUENCE {103A54C933}>,858,160,155,162,(3 3 3 3 3 2 3 2),4.8828917,1
43,id=43_genre=classical_c-id=63_e-id=8_ic_category_1,CLASSICAL,1,T,6,0.6555519402,"(0.498340002d0 0.4171903988d0 0.4154672157d0 0.4154672157d0 0.6555519402d0
 0.6066733029d0 0.3955585127d0)",3.0033197,"((57 61 64) (59 62 64 67) (50 66 69) (57 61 64) (50 66 69) (52 67 71)
 (48 62 66 69) (59 62 67))",#<HARMONIC-SEQUENCE {103A54CAE3}>,63,8,3,10,(3 4 3 3 3 3 4 3),7.954,1
44,id=44_genre=classical_c-id=520_e-id=70_ic_category_1,CLASSICAL,1,T,6,0.371440557,"(0.088390993d0 0.2863351795d0 0.39824444d0 0.4879518652d0 0.371440557d0
 0.289336902d0 0.4154672157d0)",2.9370053,"((53 60 69) (53 60 64 69) (48 64 67) (48 62 69) (48 67 70) (48 64 67 69)
 (53 60 69) (48 64 67))",#<HARMONIC-SEQUENCE {103A54CC93}>,520,70,65,72,(3 4 3 3 3 4 3 3),8.410862,1
45,id=45_genre=classical_c-id=826_e-id=116_ic_category_1,CLASSICAL,1,T,6,0.4154672157,"(0.0d0 0.2863351795d0 0.4705920409d0 0.3955585127d0 0.4154672157d0
 0.0871130066d0 0.4171903988d0)",2.9370055,"((50 66 69) (54 62 69) (55 62 66 71) (57 61 64 67) (50 66 69) (50 67 71)
 (50 64 67 71) (50 66 69))",#<HARMONIC-SEQUENCE {103A54CE53}>,826,116,111,118,(3 3 4 4 3 3 4 3),6.7307696,1
46,id=46_genre=classical_c-id=1002_e-id=276_ic_category_1,CLASSICAL,1,T,6,0.1854361681,"(0.1854361681d0 0.2976272114d0 0.6126406916d0 0.6126406916d0 0.1854361681d0
 0.3875483542d0 0.7214095679d0)",3.4583433,"((49 62 66 69) (57 60 62 66) (55 62 66 71) (48 63 66 68) (59 62 66 67)
 (59 62 65 67) (48 64 67 70) (53 61 68 71))",#<HARMONIC-SEQUENCE {103A54D063}>,1002,276,271,278,(4 4 4 4 4 4 4 4),5.796888,1
47,id=47_genre=classical_c-id=411_e-id=238_ic_category_1,CLASSICAL,1,T,6,0.3955585127,"(0.6224036406d0 0.2749705464d0 0.3197631892d0 0.088390993d0 0.3955585127d0
 0.2551724967d0 0.5355307861d0)",3.4583433,"((51 60 66) (58 61 65) (49 65 69) (53 61 66 70) (49 65 70) (48 63 66 70)
 (49 63 70) (51 60 65 69))",#<HARMONIC-SEQUENCE {103A54D223}>,411,238,233,240,(3 3 3 4 3 4 3 4),10.583216,1
48,id=48_genre=classical_c-id=664_e-id=12_ic_category_1,CLASSICAL,1,T,6,0.1392375404,"(0.7624995994d0 0.254644365d0 0.4556727817d0 0.3933956015d0 0.1392375404d0
 0.1392375404d0 0.5295023201d0)",2.9370055,"((52 60 67) (57 66 71) (50 66 69) (52 62 68 71) (57 64) (52 60 69) (57 64)
 (52 60 67))",#<HARMONIC-SEQUENCE {103A54D3A3}>,664,12,7,14,(3 3 3 4 2 3 2 3),3.9571726,1
49,id=49_genre=classical_c-id=135_e-id=17_ic_category_1,CLASSICAL,1,T,6,0.0,"(0.4154672157d0 0.4154672157d0 0.4154672157d0 0.4154672157d0 0.0d0
 0.0871130066d0 0.272020256d0)",2.2486646,"((55 62 71) (50 66 69) (55 62 71) (50 66 69) (55 62 71) (59 62 67)
 (50 64 67 71) (54 62 69 71))",#<HARMONIC-SEQUENCE {103A54D553}>,135,17,12,19,(3 3 3 3 3 3 4 4),5.3530617,1
50,id=50_genre=classical_c-id=604_e-id=129_ic_category_1,CLASSICAL,1,T,6,0.1044008226,"(0.2708516229d0 0.1392375404d0 0.414836409d0 0.1044008226d0 0.1044008226d0
 0.1044008226d0 0.3955585127d0)",2.5401664,"((57 61 64 66) (57 64) (57 61 64) (52 62 71) (52 62 68 71) (52 62 71)
 (52 62 68 71) (57 61 64))",#<HARMONIC-SEQUENCE {103A54D703}>,604,129,124,131,(4 2 3 3 4 3 4 3),5.1425643,1
51,id=51_genre=classical_c-id=413_e-id=110_ic_category_1,CLASSICAL,1,T,6,0.5234969017,"(0.4941420868d0 0.263660845d0 0.2647767953d0 0.1044008226d0 0.5234969017d0
 0.2416037152d0 0.0d0)",3.2018166,"((52 67 71) (54 63 71) (51 66 69) (59 66 69) (57 63 66 71) (55 62 71)
 (55 64 71) (52 67 71))",#<HARMONIC-SEQUENCE {103A54D8A3}>,413,110,105,112,(3 3 3 3 4 3 3 3),8.343702,1
52,id=52_genre=classical_c-id=544_e-id=336_ic_category_1,CLASSICAL,1,T,6,0.3622720782,"(0.3550093219d0 0.3745719736d0 0.2134506033d0 0.1854361681d0 0.3622720782d0
 0.3955585127d0 0.3955585127d0)",2.9370055,"((57 61 64 67) (59 60 64 67) (49 64 67 70) (48 64 67 70) (59 60 64 67)
 (59 64 68) (59 63 66 69) (59 64 68))",#<HARMONIC-SEQUENCE {103A54DA93}>,544,336,331,338,(4 4 4 4 4 3 4 3),10.418324,1
53,id=53_genre=classical_c-id=939_e-id=60_ic_category_1,CLASSICAL,1,T,6,0.1635332016,"(0.5013549427d0 0.5013549427d0 0.4154672157d0 0.2863351795d0 0.1635332016d0
 0.1635332016d0 0.5025801494d0)",3.4583433,"((58 63 67) (58 62 65 69) (51 67 70) (58 62 65) (51 62 67 70) (58 62 65 67)
 (50 63 67 70) (53 60 63 68))",#<HARMONIC-SEQUENCE {103A54DC73}>,939,60,55,62,(3 4 3 3 4 4 4 4),9.053204,1
54,id=54_genre=classical_c-id=736_e-id=298_ic_category_1,CLASSICAL,1,T,6,0.5150446574,"(0.4154672157d0 0.6434166946d0 0.6434166946d0 0.414836409d0 0.5150446574d0
 0.2416037152d0 0.5800184451d0)",3.2018166,"((51 67 70) (48 63 68) (49 64 67 70) (50 66 69) (55 64 69) (55 62 70)
 (58 62 65) (50 66 69))",#<HARMONIC-SEQUENCE {103A54DE13}>,736,298,293,300,(3 3 4 3 3 3 3 3),7.228005,1
